siteenergyusekbtu,totalghgemissions,yearbuilt,is_using_electricitykWh,is_using_naturalgaskWh,is_using_steamusekWh,largestpropertyusetypegfa,numberofbuildings,numberoffloors,propertygfabuildings,buildingtype,primarypropertytype
7226362.0,250.0,1927.0,1,1,1,88434.0,1.0,12.0,88434,NonResidential,Hotel
8387933.0,296.0,1996.0,1,1,0,83880.0,1.0,11.0,88502,NonResidential,Hotel
72587024.0,2089.0,1969.0,1,1,1,756493.0,1.0,41.0,759392,NonResidential,Hotel
6794584.0,286.0,1926.0,1,1,1,61320.0,1.0,10.0,61320,NonResidential,Hotel
14172606.0,505.0,1980.0,1,1,0,123445.0,1.0,18.0,113580,NonResidential,Hotel
12086616.0,302.0,1999.0,1,1,0,88830.0,1.0,2.0,60090,Nonresidential COS,Other
5758795.0,176.0,1926.0,1,1,0,81352.0,1.0,11.0,83008,NonResidential,Hotel
6298132.0,222.0,1926.0,1,1,1,102761.0,1.0,8.0,102761,NonResidential,Other
13723820.0,392.0,1904.0,1,1,0,163984.0,1.0,15.0,163984,NonResidential,Hotel
4573777.0,151.0,1910.0,1,1,1,56132.0,1.0,6.0,62216,Multifamily MR (5-9),Mid-Rise Multifamily
16016644.0,691.0,1969.0,1,1,1,133884.0,1.0,11.0,133884,NonResidential,Hotel
26941110.0,741.0,1998.0,1,1,1,336640.0,1.0,25.0,272015,NonResidential,Hotel
6596058.0,328.0,1928.0,1,1,1,65009.0,1.0,9.0,65009,NonResidential,Hotel
22325364.0,649.0,1980.0,1,1,1,295511.0,1.0,33.0,258352,NonResidential,Hotel
10750010.0,511.0,1922.0,1,1,1,67390.0,1.0,11.0,66990,NonResidential,Hotel
18588860.0,181.0,2004.0,1,0,1,364913.0,1.0,11.0,355000,Nonresidential COS,Other
9956396.0,434.0,1930.0,1,1,1,90000.0,1.0,6.0,103911,NonResidential,Other
33556756.0,803.0,1983.0,1,1,0,348329.0,1.0,28.0,331281,NonResidential,Hotel
7606084.0,273.0,1907.0,1,1,1,16442.0,1.0,5.0,57452,NonResidential,Mixed Use Property
10154608.0,349.0,1916.0,1,1,1,104352.0,1.0,10.0,104352,NonResidential,Hotel
44984468.0,1265.0,1916.0,1,1,0,537150.0,1.0,10.0,540360,NonResidential,Other
47859812.0,1699.0,1985.0,1,1,0,385274.0,1.0,19.0,385274,NonResidential,Other
3663534.0,90.0,2001.0,1,1,0,58006.0,1.0,6.0,58006,NonResidential,Hotel
11343686.0,388.0,1928.0,1,1,0,125000.0,1.0,7.0,126593,NonResidential,University
1310237.0,9.0,1930.0,1,0,0,67224.0,1.0,2.0,67224,NonResidential,Other
5328052.0,257.0,1991.0,1,1,0,112676.0,1.0,8.0,128375,NonResidential,Hotel
11061916.0,329.0,2001.0,1,1,0,128909.0,1.0,10.0,133585,NonResidential,Hotel
4456714.0,128.0,1978.0,1,1,0,47994.0,1.0,5.0,52210,NonResidential,Hotel
4145920.0,158.0,1906.0,1,1,0,40943.0,1.0,3.0,87262,NonResidential,Small- and Mid-Sized Office
6668568.0,215.0,1994.0,1,1,0,81871.0,1.0,4.0,81871,NonResidential,Hotel
318365.0,4.0,1955.0,1,1,0,26225.0,1.0,2.0,110356,NonResidential,Self-Storage Facility
448385312.0,16871.0,1992.0,1,1,0,757027.0,1.0,3.0,494835,Campus,Mixed Use Property
44731160.0,312.0,1961.0,1,0,0,616000.0,3.0,2.0,714095,NonResidential,Warehouse
1650279.0,31.0,1990.0,1,1,0,54986.0,1.0,2.0,54986,SPS-District K-12,K-12 School
6186462.0,131.0,1961.0,1,1,0,55586.0,1.0,2.0,94900,NonResidential,Small- and Mid-Sized Office
2951331.0,84.0,1900.0,1,1,0,51029.0,1.0,2.0,52554,NonResidential,Small- and Mid-Sized Office
6994740.0,248.0,1954.0,1,1,0,175015.0,1.0,3.0,175015,NonResidential,K-12 School
2158629.0,45.0,1911.0,1,1,0,38439.0,1.0,3.0,70586,NonResidential,Self-Storage Facility
16163194.0,295.0,1969.0,1,1,0,348630.0,1.0,24.0,126240,NonResidential,Hotel
9536161.0,66.0,1973.0,1,0,0,103362.0,1.0,5.0,168115,NonResidential,Large Office
1247362.0,33.0,1920.0,1,1,0,51747.0,1.0,2.0,57428,NonResidential,Other
5071974.0,35.0,1910.0,1,0,0,34947.0,1.0,8.0,59400,NonResidential,Small- and Mid-Sized Office
15026196.0,584.0,1926.0,1,1,0,23500.0,1.0,2.0,52549,NonResidential,Mixed Use Property
4841348.0,59.0,1930.0,1,1,0,83591.0,1.0,20.0,88591,NonResidential,Hotel
80469216.0,2452.0,1982.0,1,1,1,994212.0,1.0,34.0,847518,NonResidential,Hotel
5348309.0,134.0,1985.0,1,1,0,41340.0,1.0,7.0,71150,NonResidential,Hotel
5401278.0,227.0,1908.0,1,1,0,88360.0,1.0,7.0,122810,NonResidential,Hotel
5284344.0,145.0,1959.0,1,1,0,70627.0,1.0,5.0,70627,NonResidential,Hotel
6715187.0,200.0,2000.0,1,1,0,107547.0,1.0,7.0,115718,NonResidential,Hotel
5827596.0,162.0,1997.0,1,1,0,88490.0,1.0,6.0,88100,NonResidential,Hotel
6836900.0,153.0,1998.0,1,1,0,155602.0,1.0,6.0,118858,NonResidential,Hotel
3234788.0,146.0,1911.0,1,1,0,56072.0,1.0,3.0,56072,NonResidential,K-12 School
5337334.0,172.0,1999.0,1,1,0,78051.0,1.0,4.0,78051,NonResidential,Hotel
3375211.0,88.0,1962.0,1,1,0,54984.0,1.0,2.0,54984,NonResidential,Small- and Mid-Sized Office
42792072.0,1727.0,1922.0,1,1,0,296313.0,1.0,5.0,217603,NonResidential,Senior Care Community
16402563.0,609.0,1970.0,1,1,0,93397.0,1.0,2.0,93397,NonResidential,Senior Care Community
3706100.0,67.0,2008.0,1,1,0,63371.0,1.0,6.0,63371,NonResidential,Hotel
16701055.0,431.0,1965.0,1,1,0,179014.0,0.0,3.0,179014,NonResidential,Medical Office
7258758.0,263.0,1908.0,1,1,0,76631.0,1.0,7.0,76631,NonResidential,Hotel
15473117.0,482.0,1983.0,1,0,1,40174.0,1.0,6.0,90439,NonResidential,Mixed Use Property
1049749.0,39.0,1929.0,1,1,0,72072.0,1.0,2.0,58320,NonResidential,Retail Store
13795954.0,139.0,2010.0,1,1,0,261826.0,1.0,5.0,316306,NonResidential,Large Office
19459304.0,527.0,1990.0,1,1,0,235788.0,1.0,7.0,238097,NonResidential,Hotel
23658978.0,607.0,1962.0,1,1,1,368000.0,1.0,1.0,389000,Nonresidential COS,Other
8141156.0,344.0,1962.0,1,0,1,65000.0,1.0,1.0,91213,Nonresidential COS,Other
20955026.0,804.0,1938.0,1,0,1,278500.0,1.0,5.0,396085,Nonresidential COS,Other
39605888.0,618.0,2010.0,1,1,0,598801.0,1.0,12.0,571329,NonResidential,Large Office
2726369.0,102.0,1962.0,1,0,1,52000.0,1.0,2.0,52000,Nonresidential COS,Other
875943.0,6.0,1928.0,1,0,0,108000.0,1.0,1.0,60696,Nonresidential COS,Other
20723248.0,491.0,1928.0,1,0,1,296000.0,1.0,2.0,262048,Nonresidential COS,Other
4166306.0,29.0,1986.0,1,0,0,45900.0,0.0,2.0,63888,NonResidential,Small- and Mid-Sized Office
36667044.0,674.0,2010.0,1,1,0,729584.0,1.0,6.0,616891,NonResidential,Large Office
3476212.0,49.0,1970.0,1,1,0,48546.0,1.0,4.0,50283,NonResidential,Small- and Mid-Sized Office
5155568.0,152.0,2002.0,1,1,0,59976.0,1.0,6.0,59976,NonResidential,Hotel
5448975.0,191.0,1962.0,1,1,0,50017.0,2.0,4.0,50017,NonResidential,Hotel
2646879.0,79.0,1923.0,1,1,0,67743.0,1.0,3.0,67743,NonResidential,K-12 School
6219842.0,243.0,1908.0,1,1,0,194104.0,1.0,6.0,194104,NonResidential,K-12 School
4897760.0,34.0,2003.0,1,0,0,63681.0,1.0,3.0,63681,NonResidential,Small- and Mid-Sized Office
6357632.0,44.0,1941.0,1,0,0,49000.0,1.0,4.0,56521,NonResidential,Other
4253578.0,134.0,1929.0,1,1,0,119146.0,1.0,2.0,206934,NonResidential,Other
3611538.0,127.0,2001.0,1,1,0,51390.0,1.0,4.0,51390,NonResidential,Hotel
11765682.0,444.0,1959.0,1,1,0,245587.0,1.0,1.0,245587,SPS-District K-12,K-12 School
65336980.0,2056.0,2004.0,1,1,0,250000.0,1.0,11.0,230638,NonResidential,Other
3242458.0,89.0,2002.0,1,1,0,70609.0,1.0,3.0,69138,NonResidential,Hotel
6505995.0,142.0,1904.0,1,1,0,190980.0,1.0,5.0,190980,NonResidential,Hotel
14641502.0,429.0,1998.0,1,1,1,189750.0,1.0,6.0,284100,Nonresidential COS,Other
68090728.0,1990.0,1954.0,1,1,0,302661.0,4.0,5.0,285333,NonResidential,Hospital
9363374.0,177.0,2006.0,1,1,0,42755.0,1.0,4.0,61156,Nonresidential COS,Other
2010455.0,46.0,1910.0,1,1,0,58000.0,1.0,4.0,59000,NonResidential,Other
7946961.0,228.0,1996.0,1,1,0,113702.0,1.0,4.0,148022,NonResidential,Hotel
3059758.0,74.0,1915.0,1,1,0,64820.0,1.0,3.0,63330,NonResidential,University
38301744.0,866.0,1970.0,1,1,0,483000.0,27.0,2.0,441071,Campus,University
16319835.0,222.0,2002.0,1,1,0,92300.0,1.0,2.0,96300,NonResidential,Small- and Mid-Sized Office
7475578.0,204.0,1950.0,1,1,0,68359.0,1.0,1.0,67356,Nonresidential COS,Other
4253370.0,61.0,1958.0,1,1,0,25765.0,1.0,1.0,54765,NonResidential,Small- and Mid-Sized Office
